talk,speaker,speaker_title,speaker_occ,speaker_bio
How I started writing songs again, Sting,,"Composer, singer, author, actor, activist","He’s sold more than 100 million albums and earned 16 Grammy Awards, yet Sting continues to surprise. His fourteenth solo album, <em>The Last Ship,</em> features songs from his Broadway-bound musical of the same name."
"The hunt for ""unexpected genetic heroes""",Stephen Friend,,Open-science advocate,"Inspired by open-source software models, Sage Bionetworks co-founder Stephen Friend builds tools that facilitate research sharing on a massive and revolutionary scale."
A glimpse of life on the road,Kitra Cahana,,Vagabond photojournalist + conceptual artist,Kitra Cahana is a Canadian photographer who blurs the line between anthropologist and journalist.
How the teddy bear taught us compassion,Jon Mooallem,,Writer,"Jon Mooallem is the author of ""Wild Ones: A Sometimes Dismaying, Weirdly Reassuring Story About Looking at People Looking at Animals in America."""
Why veterans miss war,Sebastian Junger,,Journalist and documentarian,"The author of ""The Perfect Storm"" and the director of the documentaries ""Restrepo"" and ""Korengal,"" Sebastian Junger tells non-fiction stories with grit and emotion."
How to talk to veterans about war,Wes Moore,,"Author, advocate","Wes Moore's life transformed with these words out of his mother's mouth: 
""I'm sending you to military school."" The author of the book, ""The Other Wes Moore,"" he is now a vocal advocate for America's youth as well as for fellow veterans returning from Iraq and Afghanistan."
How augmented reality will change sports ... and build empathy,Chris Kluwe,,Punter and author,"As a punter, most recently for the Minnesota Vikings, Chris Kluwe consistently set team records. As an advocate for equality, he proudly and profanely broke the NFL's code of omertà around locker-room politics. He tweets a lot about World of Warcraft."
How the worst moments in our lives make us who we are,Andrew Solomon,,Writer,"Andrew Solomon writes about politics, culture and psychology. "
How the heart actually pumps blood,Edmond Hui,,,
"Save the oceans, feed the world!",Jackie Savitz,,Ocean advocate,"Jackie Savitz works to protect the world's oceans. A marine biologist, she is passionate that saving the seas will benefit us all."
Why good leaders make you feel safe,Simon Sinek,,Leadership expert,"Simon Sinek explores how leaders can inspire cooperation, trust and change. He's the author of the classic ""Start With Why""; his latest book is ""Leaders Eat Last."""
The Museum of Four in the Morning, Rives,,"Performance poet, multimedia artist","Performance artist and storyteller Rives has been called ""the first 2.0 poet,"" using images, video and technology to bring his words to life. "
The smelly mystery of the human pheromone,Tristram Wyatt,,Zoologist,"Do humans have pheromones? Tristram Wyatt is on the case. A researcher at Oxford, Wyatt is interested in the evolution of pheromones throughout the animal kingdom."
The bridge between suicide and life,Kevin Briggs,,Golden Gate guardian,"As a member of the California Highway Patrol with assignments including patrolling the Golden Gate Bridge, Sergeant Kevin Briggs and his staff are the last barriers between would-be suicides and the plunge to near-certain death."
The science of symmetry,Colm Kelleher,,,
"What ants teach us about the brain, cancer and the Internet",Deborah Gordon,,Ecologist,"By studying how ant colonies work without any one leader, Deborah Gordon has identified striking similarities in how ant colonies, brains, cells and computer networks regulate themselves."
"How to rob a bank (from the inside, that is)",William Black,,Academic,"William Black is a professor of economics and law at University of Missouri, Kansas City."
How sampling transformed music,Mark Ronson,,Music producer and DJ,"His production credits range from Amy Winehouse to Paul McCartney -- ace DJ, musician and producer Mark Ronson has lived recent music history from the inside out."
The science of attraction,Dawn Maslar,,Biologist,
"Comics that ask ""what if?""",Randall Munroe,,Cartoonist,Randall Munroe sketches elegant and illuminating explanations of the weird science and math questions that keep geeks awake at night.
The military case for sharing knowledge,Stanley McChrystal,General,Military leader,"General Stanley McChrystal is the former commander of U.S. and International forces in Afghanistan. A four-star general, he is credited for creating a revolution in warfare that fuses intelligence and operations."
"And for my next trick, a robot",Marco Tempest,,Cyber illusionist,"Using technology and an array of special effects, Marco Tempest develops immersive environments that allow viewers to viscerally experience the magic of technology."
Color blind or color brave?,Mellody Hobson,,Investment expert,"Mellody Hobson is president of Ariel Investments, a value-driven money management firm -- and an advocate for financial literacy and investor education."
What does the future hold? 11 characters offer quirky answers,Sarah Jones,,Polymorphic playwright,"Tony Award-winning monologist, UNICEF ambassador, firebrand and FCC-fighting poet -- Sarah Jones assumes as many roles offstage as on."
The fundamentals of space-time,Andrew Pontzen,,,
The emergent patterns of climate change,Gavin Schmidt,,Climate scientist,What goes into a climate model? Gavin Schmidt looks at how we use past and present data to model potential futures.
Get your next eye exam on a smartphone,Andrew Bastawrous,,"Eye surgeon, inventor",TED Fellow Andrew Bastawrous studies eye health -- and builds accessible new tools to bring eye care to more people.
The case of the missing fractals,Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
"Are athletes really getting faster, better, stronger?",David Epstein,,Science and investigative reporter,"David Epstein obsesses over mistranslations of scientific research, and tries to temper the misconceptions that follow them."
Not all scientific studies are created equal,David Schwartz,,,
Autism — what we know (and what we don't know yet),Wendy Chung,,Geneticist,"At the Simons Foundation, Wendy Chung is working to characterize behavior, brain structure and function in people with genetic variations that may relate to autism."
"Success, failure and the drive to keep creating",Elizabeth Gilbert,,Writer,"The author of ""Eat, Pray, Love,"" Elizabeth Gilbert has thought long and hard about some big topics. Her fascinations: genius, creativity and how we get in our own way when it comes to both."
How tsunamis work,Alex Gendler,,,
The best computer interface? Maybe ... your hands,James Patten,,Interaction designer,"James Patten, a TED Fellow, imagines new ways for us to play with computers."
A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,,"Inventor, ocean swimmer",Hamish Jolly brings his entrepreneurial eye to the rare but viscerally terrifying issue of shark attacks.
How synchronized hammer strikes could generate nuclear fusion,Michel Laberge,,Plasma physicist,"In a lab near Vancouver, Michel Laberge and his team at General Fusion are building a prototype fusion reactor that mimics the processes of the sun to produce cheap, clean and abundant energy."
Embrace the near win,Sarah Lewis,,Writer,Art historian and critic Sarah Lewis celebrates creativity and shows how it can lead us through fear and failure to ultimate success.
My life in typefaces,Matthew Carter,,Type designer,"Even if you don’t recognize his name, chances are you’ve seen Matthew Carter’s work -- his type designs include some of the world’s most familiar digital typefaces."
The flower-shaped starshade that might help us detect Earth-like planets,Jeremy Kasdin,,Planet finder,"Using innovative orbiting instruments, aerospace engineer Jeremy Kasdin hunts for the universe’s most elusive objects — potentially habitable worlds."
